full_licence_name,osi_approved,matching_paragraph,paragraph_before
Creative Commons Attribution 3.0 Australia,N/A (Local Search Only),"Each time You Distribute or publicly perform the Work, a Derivative Work or a Collection the Licensor offers the recipient a licence to the Work on the same terms as are granted to You under this Licence.",9. Licence Grant to Recipients of the Work from You
Creative Commons Attribution 3.0 IGO,N/A (Local Search Only),"a. Each time You Distribute or Publicly Perform the Work or a Collection, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution 3.0 United States,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work (as defined in Section 1 above) or a Collective Work (as defined in Section 1 above), the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NoDerivs 1.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NoDerivs 2.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NoDerivs 2.5 Generic,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NoDerivs-NonCommercial 1.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial 1.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial 2.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial 2.5,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial-NoDerivs 2.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial-NoDerivs 2.5,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial-ShareAlike 1.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial-ShareAlike 2.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-NonCommercial-ShareAlike 2.5,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-ShareAlike 1.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-ShareAlike 2.0,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-ShareAlike 2.5,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a Collective Work, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Attribution-ShareAlike 3.0 IGO,N/A (Local Search Only),"a. Each time You Distribute or Publicly Perform the Work or a Collection, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. Miscellaneous
Creative Commons Legal Code,N/A (Local Search Only),"a. Each time You distribute or publicly digitally perform the Work or a     Collective Work, the Licensor offers to the recipient a license to the Work     on the same terms and conditions as the license granted to You under this     License.  b. Each time You distribute or publicly digitally perform a Derivative Work,     Licensor offers to the recipient a license to the original Work on the same     terms and conditions as the license granted to You under this License.  c. If any provision of this License is invalid or unenforceable under     applicable law, it shall not affect the validity or enforceability of the     remainder of the terms of this License, and without further action by the     parties to this agreement, such provision shall be reformed to the minimum     extent necessary to make such provision valid and enforceable.  d. No term or provision of this License shall be deemed waived and no breach     consented to unless such waiver or consent shall be in writing and signed     by the party to be charged with such waiver or consent.  e. This License constitutes the entire agreement between the parties with     respect to the Work licensed here. There are no understandings, agreements     or representations with respect to the Work not specified here. Licensor     shall not be bound by any additional provisions that may appear in any     communication from You. This License may not be modified without the mutual     written agreement of the Licensor and You.",8. Miscellaneous
"GL2PS LICENSE Version 2, November 2003",N/A (Local Search Only),1) the modifications are licensed under the same terms as this software;,"Permission to modify and distribute modified versions of this software is granted, provided that:"
NASA OPEN SOURCE AGREEMENT VERSION 1.3,N/A (Local Search Only),D. The rights granted in Paragraphs A. and B. allow the Recipient to sublicense those same rights. Such sublicense must be under the same terms and conditions of this Agreement.,"C. The rights granted under Paragraph B. also apply to the combination of a Contributor's Modification and the Subject Software if, at the time the Modification is added by the Contributor, the addition of such Modification causes the combination to be covered by the Covered Patents. It does not apply to any other combinations that include a Modification."
Peer Production License,N/A (Local Search Only),"a. Each time You Distribute or Publicly Perform the Work or a Collection, the Licensor offers to the recipient a license to the Work on the same terms and conditions as the license granted to You under this License.",8. MISCELLANEOUS
RealNetworks Public Source License Version 1.0,N/A (Local Search Only),"4.1 You must cause any Derivative Work that you distribute, publish or Externally Deploy, that in whole or in part contains or is derived from the Covered Code or any part thereof, to be licensed as a whole at no charge to all third parties under the terms of this License and no other license except as provided in Section 4.2. You also must make Source Code available for the Derivative Work under the same terms as Modifications, described in Sections 2 and 3, above.","4. Derivative Works. You may create a Derivative Work by combining Covered Code with other code not otherwise governed by the terms of this License and distribute the Derivative Work as an integrated product. In each such instance, You must make sure the requirements of this License are fulfilled for the Covered Code or any portion thereof, including all Modifications."
SENDMAIL LICENSE,N/A (Local Search Only),"(b) Redistributions are accompanied by a copy of the Source Code or by an irrevocable offer to provide a copy of the Source Code for up to three years at the cost of materials and delivery. Such redistributions must allow further use, modification, and redistribution of the Source Code under substantially the same terms as this license. For the purposes of redistribution ""Source Code"" means the complete compilable and linkable source code of sendmail and associated libraries and utilities in the sendmail distribution including all modifications.",(a) Redistributions are made at no charge beyond the reasonable cost of materials and delivery.
SENDMAIL LICENSE,N/A (Local Search Only),"(b) Redistributions are accompanied by a copy of the Source Code or by an irrevocable offer to provide a copy of the Source Code for up to three years at the cost of materials and delivery. Such redistributions must allow further use, modification, and redistribution of the Source Code under substantially the same terms as this license. For the purposes of redistribution ""Source Code"" means the complete compilable and linkable source code of sendmail including all modifications.",(a) Redistributions are made at no charge beyond the reasonable cost of materials and delivery.
SENDMAIL OPEN SOURCE LICENSE,N/A (Local Search Only),"(b) Redistributions are accompanied by a copy of the modified        Source Code (on an acceptable machine-readable medium) or by an        irrevocable offer to provide a copy of the modified Source Code        (on an acceptable machine-readable medium) for up to three years        at the cost of materials and delivery. Such redistributions must        allow further use, modification, and redistribution of the Source        Code under substantially the same terms as this license. For        the purposes of redistribution ""Source Code"" means the complete        human-readable, compilable, linkable, and operational source        code of the redistributed module(s) including all modifications.",(a) Redistributions are made at no charge beyond the reasonable        cost of materials and delivery; or
SUN INDUSTRY STANDARDS SOURCE LICENSE,N/A (Local Search Only),"3.1 Application of License. The Source Code version of Original Code may be distributed only under the terms of this License or a future version of this License released under Section 6.1, and You must include a copy of this License with every copy of the Source Code You distribute. You may not offer or impose any terms on any Source Code version that alters or restricts the applicable version of this License or the recipients rights hereunder. Your license for shipment of the Contributor Version is conditioned upon Your full compliance with this Section. The Modifications which You create must comply with all requirements set out by the Standards body in effect one hundred twenty (120) days before You ship the Contributor Version. In the event that the Modifications do not meet such requirements, You agree to publish either (i) any deviation from the Standards protocol resulting from implementation of Your Modifications and a reference implementation of Your Modifications or (ii) Your Modifications in Source Code form, and to make any such deviation and reference implementation or Modifications available to all third parties under the same terms a this license on a royalty free basis within thirty (30) days of Your first customer shipment of Your Modifications. Additionally, in the event that the Modifications you create do not meet the requirements set out in this Section, You agree to comply with the Standards requirements set out in Exhibit B.",3.0 DISTRIBUTION OBLIGATIONS
Sun Industry Standards Source License - Version 1.1,N/A (Local Search Only),"3.1 Application of License. The Source Code version of Original Code may be distributed only under the terms of this License or a future version of this License released under Section 6.1, and You must include a copy of this License with every copy of the Source Code You distribute. You may not offer or impose any terms on any Source Code version that alters or restricts the applicable version of this License or the recipients' rights hereunder. Your license for shipment of the Contributor Version is conditioned upon Your full compliance with this Section. The Modifications which You create must comply with all requirements set out by the Standards body in effect one hundred twenty (120) days before You ship the Contributor Version. In the event that the Modifications do not meet such requirements, You agree to publish either (i) any deviation from the Standards protocol resulting from implementation of Your Modifications and a reference implementation of Your Modifications or (ii) Your Modifications in Source Code form, and to make any such deviation and reference implementation or Modifications available to all third parties under the same terms as this license on a royalty free basis within thirty (30) days of Your first customer shipment of Your Modifications.",3.0 DISTRIBUTION OBLIGATIONS
THE FRAMEWORX OPEN LICENSE 1.0,N/A (Local Search Only),"(a) requiring as a condition to any Downstream Distribution made by you, or by any direct or indirect distributee of Your Downstream Distribution (or any portion or element thereof), that each distributee under the relevant Downstream Distribution obtain a direct license (on the same terms and conditions as those in this License Agreement) from The Frameworx Company; or","4. Restrictions on Open Downstream Distributions. Each Downstream Distribution made by You, and by any party directly or indirectly obtaining rights to the Frameworx Code Base through You, shall be made subject to a license grant or agreement to the extent necessary so that each distributee under that Downstream Distribution will be subject to the same restrictions on re-distribution and use as are binding on You hereunder. You may satisfy this licensing requirement either by:"
